controller,fold,goodput,attack_mitigation_rate,benign_drop_rate,f1,fpr,avg_latency,avg_reward,steps
NoControl,1,1.0,0.0,0.0,,,,,
Greedy,1,0.0,1.0,1.0,,,,,
CARA-TC,1,0.9737674100657951,0.962653870227415,0.026232589934204905,0.6209554655870445,1.0,4.417127631644822,-0.548499371098171,21289.0
DQN-TFC-val,1,0.8597381040206565,0.8765836609873308,0.14016967908520842,,,,,
PPO-TFC-val,1,0.8813168572482479,0.3504805591961555,0.11868314275175212,,,,,
NoControl,2,1.0,0.0,0.0,,,,,
Greedy,2,0.0,1.0,1.0,,,,,
CARA-TC,2,0.9781117895725693,0.9733208078910287,0.021888210427430718,0.6666666666666666,1.0,4.393291540566484,-0.2607129547869512,21290.0
DQN-TFC-val,2,0.9643490250147725,0.8523258175908999,0.025310222572385268,,,,,
PPO-TFC-val,2,0.9491825881426039,0.3871622994109283,0.0508174118573961,,,,,
NoControl,3,1.0,0.0,0.0,,,,,
Greedy,3,0.0,1.0,1.0,,,,,
CARA-TC,3,0.9619861006447291,0.9458649834171392,0.037846437243573644,0.6101772366746091,1.0,4.431052147801657,-0.7129507293353535,21290.0
DQN-TFC-val,3,0.8278905560458959,0.8822376009227221,0.17210944395410416,,,,,
PPO-TFC-val,3,0.960458958517211,0.2190311418685121,0.03954104148278906,,,,,
