replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket
0,CARA-TC,CARA-TC,,1,0.879833996295929,0.8799999952316284,0.88,6,Isolate,34,attack
1,CARA-TC,CARA-TC,,0,0.8099673390388489,0.8100000023841858,0.81,1,Inspect,163,benign
2,CARA-TC,CARA-TC,,0,0.8290244936943054,0.8299999833106995,0.82,1,Inspect,359,benign
3,CARA-TC,CARA-TC,,1,0.8779748678207397,0.8799999952316284,0.87,6,Isolate,543,attack
4,CARA-TC,CARA-TC,,1,0.8908616900444031,0.8899999856948853,0.89,6,Isolate,788,attack
5,CARA-TC,CARA-TC,,0,0.8184310793876648,0.8199999928474426,0.83,1,Inspect,1007,benign
6,CARA-TC,CARA-TC,,1,0.8630930185317993,0.8700000047683716,0.86,6,Isolate,1077,attack
7,CARA-TC,CARA-TC,,0,0.7812010049819946,0.7799999713897705,0.78,1,Inspect,1173,benign
8,CARA-TC,CARA-TC,,0,0.7988349199295044,0.800000011920929,0.8,1,Inspect,1338,benign
9,CARA-TC,CARA-TC,,1,0.8783858418464661,0.8799999952316284,0.88,4,Reroute,1589,attack
10,CARA-TC,CARA-TC,,1,0.9270837903022766,0.9300000071525574,0.93,4,Reroute,1711,attack
11,CARA-TC,CARA-TC,,1,0.9204261302947998,0.9200000166893004,0.92,4,Reroute,1755,attack
12,CARA-TC,CARA-TC,,1,0.8790686726570129,0.8799999952316284,0.88,4,Reroute,1826,attack
13,CARA-TC,CARA-TC,,0,0.8398676514625549,0.8399999737739563,0.84,1,Inspect,2282,benign
14,CARA-TC,CARA-TC,,1,0.8598487377166748,0.8600000143051147,0.86,4,Reroute,2303,attack
15,CARA-TC,CARA-TC,,1,0.8559197187423706,0.8500000238418579,0.87,4,Reroute,2509,attack
16,CARA-TC,CARA-TC,,1,0.8448888659477234,0.8399999737739563,0.85,1,Inspect,2579,attack
17,CARA-TC,CARA-TC,,1,0.8343343138694763,0.8299999833106995,0.85,1,Inspect,2704,attack
18,CARA-TC,CARA-TC,,1,0.909209668636322,0.9100000262260436,0.91,4,Reroute,2984,attack
19,CARA-TC,CARA-TC,,1,0.892710268497467,0.8899999856948853,0.89,4,Reroute,3042,attack
20,CARA-TC,CARA-TC,,0,0.779188334941864,0.7799999713897705,0.78,1,Inspect,3187,benign
21,CARA-TC,CARA-TC,,0,0.7874859571456909,0.7900000214576721,0.79,1,Inspect,3200,benign
