orig_index,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,label_bucket,replay_step
34,1,0.879833996295929,0.8799999952316284,0.88,attack,0
163,0,0.8099673390388489,0.8100000023841858,0.81,benign,1
359,0,0.8290244936943054,0.8299999833106995,0.82,benign,2
543,1,0.8779748678207397,0.8799999952316284,0.87,attack,3
788,1,0.8908616900444031,0.8899999856948853,0.89,attack,4
1007,0,0.8184310793876648,0.8199999928474426,0.83,benign,5
1077,1,0.8630930185317993,0.8700000047683716,0.86,attack,6
1173,0,0.7812010049819946,0.7799999713897705,0.78,benign,7
1338,0,0.7988349199295044,0.800000011920929,0.8,benign,8
1589,1,0.8783858418464661,0.8799999952316284,0.88,attack,9
1711,1,0.9270837903022766,0.9300000071525574,0.93,attack,10
1755,1,0.9204261302947998,0.9200000166893005,0.92,attack,11
1826,1,0.8790686726570129,0.8799999952316284,0.88,attack,12
2303,1,0.8598487377166748,0.8600000143051147,0.86,attack,13
2509,1,0.8559197187423706,0.8500000238418579,0.87,attack,14
2579,1,0.8448888659477234,0.8399999737739563,0.85,attack,15
2704,1,0.8343343138694763,0.8299999833106995,0.85,attack,16
2984,1,0.909209668636322,0.9100000262260437,0.91,attack,17
3042,1,0.892710268497467,0.8899999856948853,0.89,attack,18
3187,0,0.779188334941864,0.7799999713897705,0.78,benign,19
3200,0,0.7874859571456909,0.7900000214576721,0.79,benign,20
3480,1,0.8884751200675964,0.8899999856948853,0.88,attack,21
3603,0,0.8297797441482544,0.8299999833106995,0.83,benign,22
4036,1,0.8987791538238525,0.8999999761581421,0.9,attack,23
4096,1,0.9100563526153564,0.9100000262260437,0.91,attack,24
4223,0,0.7760412693023682,0.7799999713897705,0.78,benign,25
4492,0,0.7967140674591064,0.7900000214576721,0.8,benign,26
4724,0,0.773356556892395,0.7699999809265137,0.78,benign,27
4794,1,0.9137651920318604,0.9100000262260437,0.92,attack,28
4856,1,0.8725376129150391,0.8700000047683716,0.88,attack,29
4879,1,0.8711929321289062,0.8700000047683716,0.88,attack,30
5004,1,0.8682050108909607,0.8700000047683716,0.87,attack,31
5015,1,0.8684120178222656,0.8700000047683716,0.87,attack,32
5100,1,0.9081689715385437,0.9100000262260437,0.91,attack,33
5137,1,0.8976726531982422,0.8999999761581421,0.9,attack,34
5188,0,0.8373674154281616,0.8399999737739563,0.83,benign,35
5222,1,0.862047553062439,0.8600000143051147,0.86,attack,36
5375,1,0.8858568668365479,0.8799999952316284,0.89,attack,37
5529,1,0.8564433455467224,0.8500000238418579,0.86,attack,38
5615,0,0.8269306421279907,0.8199999928474426,0.83,benign,39
5691,0,0.813768208026886,0.8100000023841858,0.8,benign,40
5747,0,0.8197215795516968,0.8100000023841858,0.81,benign,41
5774,0,0.8220182061195374,0.8100000023841858,0.81,benign,42
5933,1,0.8663164377212524,0.8600000143051147,0.86,attack,43
5966,0,0.849316418170929,0.8399999737739563,0.84,benign,44
6009,0,0.8093292713165283,0.800000011920929,0.8,benign,45
6047,0,0.8414927124977112,0.8399999737739563,0.83,benign,46
6156,0,0.7934058308601379,0.7900000214576721,0.79,benign,47
6158,0,0.7934057116508484,0.7900000214576721,0.79,benign,48
6161,0,0.8012173175811768,0.800000011920929,0.8,benign,49
6544,1,0.8523243069648743,0.8500000238418579,0.85,attack,50
6691,1,0.8538548350334167,0.8500000238418579,0.85,attack,51
7158,0,0.8254052996635437,0.8299999833106995,0.83,benign,52
7298,0,0.7887188196182251,0.7900000214576721,0.79,benign,53
7805,1,0.8693459033966064,0.8700000047683716,0.87,attack,54
7938,0,0.8328465819358826,0.8299999833106995,0.83,benign,55
8112,1,0.8672149181365967,0.8700000047683716,0.87,attack,56
8169,1,0.8870208859443665,0.8899999856948853,0.89,attack,57
8187,1,0.8547448515892029,0.8600000143051147,0.86,attack,58
8323,1,0.8655512928962708,0.8700000047683716,0.87,attack,59
8570,0,0.7602249383926392,0.7599999904632568,0.76,benign,60
8585,0,0.7500377893447876,0.75,0.75,benign,61
8593,0,0.7400667071342468,0.7400000095367432,0.74,benign,62
8699,1,0.8890588283538818,0.8899999856948853,0.88,attack,63
8700,1,0.8890588879585266,0.8899999856948853,0.88,attack,64
8758,0,0.8400719165802002,0.8399999737739563,0.84,benign,65
8963,0,0.800307035446167,0.7900000214576721,0.79,benign,66
9413,0,0.8101561069488525,0.8100000023841858,0.81,benign,67
9754,1,0.8594833612442017,0.8600000143051147,0.86,attack,68
9871,0,0.8076704144477844,0.8100000023841858,0.81,benign,69
9907,0,0.7902960777282715,0.7900000214576721,0.79,benign,70
10288,1,0.9019876718521118,0.8999999761581421,0.9,attack,71
10301,1,0.8918544054031372,0.8899999856948853,0.89,attack,72
10545,1,0.8455605506896973,0.8500000238418579,0.85,attack,73
10720,0,0.8055262565612793,0.800000011920929,0.79,benign,74
10844,1,0.8840524554252625,0.8700000047683716,0.88,attack,75
10855,1,0.8640789985656738,0.8500000238418579,0.86,attack,76
10888,0,0.7940945625305176,0.7799999713897705,0.79,benign,77
10926,0,0.7955327033996582,0.7900000214576721,0.8,benign,78
11013,0,0.8359295725822449,0.8299999833106995,0.84,benign,79
11177,0,0.8027329444885254,0.7900000214576721,0.79,benign,80
11275,0,0.8449897170066833,0.8399999737739563,0.84,benign,81
11301,0,0.8350366950035095,0.8299999833106995,0.83,benign,82
11302,0,0.8350360989570618,0.8299999833106995,0.83,benign,83
11352,0,0.81482994556427,0.8100000023841858,0.81,benign,84
11464,1,0.8718368411064148,0.8700000047683716,0.87,attack,85
11772,1,0.8501495122909546,0.8500000238418579,0.86,attack,86
11813,0,0.8084815144538879,0.800000011920929,0.81,benign,87
11881,0,0.8098862171173096,0.8100000023841858,0.81,benign,88
12061,1,0.8678771257400513,0.8700000047683716,0.86,attack,89
12088,0,0.8481305837631226,0.8500000238418579,0.84,benign,90
12109,1,0.858406126499176,0.8600000143051147,0.85,attack,91
12137,1,0.8504123091697693,0.8500000238418579,0.85,attack,92
12176,0,0.8224881887435913,0.8199999928474426,0.82,benign,93
12187,0,0.8422060608863831,0.8399999737739563,0.84,benign,94
12297,0,0.8399506211280823,0.8399999737739563,0.84,benign,95
12464,1,0.8687772154808044,0.8700000047683716,0.87,attack,96
12715,1,0.8521358966827393,0.8500000238418579,0.85,attack,97
12891,1,0.8409515619277954,0.8399999737739563,0.85,attack,98
12963,1,0.8435349464416504,0.8399999737739563,0.85,attack,99
13036,0,0.8321276307106018,0.8299999833106995,0.83,benign,100
13047,0,0.8130981922149658,0.8100000023841858,0.81,benign,101
13058,0,0.8230418562889099,0.8199999928474426,0.82,benign,102
13189,1,0.8648033142089844,0.8600000143051147,0.86,attack,103
13220,1,0.8940011858940125,0.8899999856948853,0.89,attack,104
13229,1,0.8817206621170044,0.8799999952316284,0.89,attack,105
13418,0,0.789798378944397,0.7900000214576721,0.79,benign,106
13422,0,0.799791693687439,0.800000011920929,0.8,benign,107
13790,1,0.8395397067070007,0.8399999737739563,0.85,attack,108
13821,0,0.8311482071876526,0.8299999833106995,0.84,benign,109
13896,1,0.8897304534912109,0.8899999856948853,0.89,attack,110
13941,1,0.8981784582138062,0.8999999761581421,0.9,attack,111
14060,0,0.8418792486190796,0.8500000238418579,0.84,benign,112
14233,0,0.8191235065460205,0.8100000023841858,0.8,benign,113
14309,1,0.8727867007255554,0.8700000047683716,0.88,attack,114
15051,1,0.859923243522644,0.8600000143051147,0.86,attack,115
15187,1,0.8823280930519104,0.8799999952316284,0.88,attack,116
15211,0,0.8324939608573914,0.8299999833106995,0.83,benign,117
15308,1,0.8637133836746216,0.8600000143051147,0.86,attack,118
15325,0,0.8160220384597778,0.8100000023841858,0.82,benign,119
15412,0,0.754787802696228,0.75,0.76,benign,120
15587,1,0.851523756980896,0.8500000238418579,0.85,attack,121
15646,1,0.8701123595237732,0.8700000047683716,0.87,attack,122
15647,1,0.8801069855690002,0.8799999952316284,0.88,attack,123
15731,1,0.9189636707305908,0.9200000166893005,0.91,attack,124
16024,0,0.8464939594268799,0.8500000238418579,0.84,benign,125
16469,1,0.8612254858016968,0.8600000143051147,0.87,attack,126
16492,1,0.8597354292869568,0.8600000143051147,0.87,attack,127
16621,1,0.8625316619873047,0.8600000143051147,0.86,attack,128
16622,1,0.8625324964523315,0.8600000143051147,0.86,attack,129
16712,0,0.8334140777587891,0.8299999833106995,0.84,benign,130
16856,1,0.8998856544494629,0.8999999761581421,0.9,attack,131
