controller,true_label,action_name,count,fraction
CARA-TC,0,Drop,4,0.03225806451612903
CARA-TC,0,Inspect,120,0.967741935483871
CARA-TC,1,Drop,113,0.904
CARA-TC,1,Inspect,8,0.064
CARA-TC,1,Isolate,4,0.032
DQN-TFC (seed=100),0,Drop,1,0.008064516129032258
DQN-TFC (seed=100),0,Forward,80,0.6451612903225806
DQN-TFC (seed=100),0,Isolate,41,0.33064516129032256
DQN-TFC (seed=100),0,Mirror,2,0.016129032258064516
DQN-TFC (seed=100),1,Drop,9,0.072
DQN-TFC (seed=100),1,Forward,14,0.112
DQN-TFC (seed=100),1,Isolate,102,0.816
DQN-TFC (seed=200),0,Drop,21,0.1693548387096774
DQN-TFC (seed=200),0,Forward,103,0.8306451612903226
DQN-TFC (seed=200),1,Drop,116,0.928
DQN-TFC (seed=200),1,Forward,9,0.072
DQN-TFC (seed=2024),0,Drop,15,0.12096774193548387
DQN-TFC (seed=2024),0,Forward,106,0.8548387096774194
DQN-TFC (seed=2024),0,Mirror,3,0.024193548387096774
DQN-TFC (seed=2024),1,Drop,104,0.832
DQN-TFC (seed=2024),1,Forward,15,0.12
DQN-TFC (seed=2024),1,Mirror,6,0.048
DQN-TFC (seed=2025),0,Drop,11,0.08870967741935484
DQN-TFC (seed=2025),0,Isolate,113,0.9112903225806451
DQN-TFC (seed=2025),1,Isolate,125,1.0
DQN-TFC (seed=300),0,Drop,56,0.45161290322580644
DQN-TFC (seed=300),0,Forward,68,0.5483870967741935
DQN-TFC (seed=300),1,Drop,123,0.984
DQN-TFC (seed=300),1,Forward,2,0.016
DQN-TFC (seed=400),0,Drop,4,0.03225806451612903
DQN-TFC (seed=400),0,Forward,76,0.6129032258064516
DQN-TFC (seed=400),0,Isolate,44,0.3548387096774194
DQN-TFC (seed=400),1,Drop,26,0.208
DQN-TFC (seed=400),1,Forward,7,0.056
DQN-TFC (seed=400),1,Isolate,92,0.736
DQN-TFC (seed=42),0,Drop,30,0.24193548387096775
DQN-TFC (seed=42),0,Forward,94,0.7580645161290323
DQN-TFC (seed=42),1,Drop,116,0.928
DQN-TFC (seed=42),1,Forward,9,0.072
DQN-TFC (seed=500),0,Drop,5,0.04032258064516129
DQN-TFC (seed=500),0,Forward,110,0.8870967741935484
DQN-TFC (seed=500),0,Isolate,9,0.07258064516129033
DQN-TFC (seed=500),1,Drop,61,0.488
DQN-TFC (seed=500),1,Forward,10,0.08
DQN-TFC (seed=500),1,Isolate,54,0.432
DQN-TFC (seed=600),0,Drop,26,0.20967741935483872
DQN-TFC (seed=600),0,Forward,97,0.782258064516129
DQN-TFC (seed=600),0,Isolate,1,0.008064516129032258
DQN-TFC (seed=600),1,Drop,104,0.832
DQN-TFC (seed=600),1,Forward,12,0.096
DQN-TFC (seed=600),1,Isolate,8,0.064
DQN-TFC (seed=600),1,Throttle,1,0.008
DQN-TFC (seed=700),0,Drop,28,0.22580645161290322
DQN-TFC (seed=700),0,Isolate,96,0.7741935483870968
DQN-TFC (seed=700),1,Drop,2,0.016
DQN-TFC (seed=700),1,Isolate,123,0.984
Greedy,0,Inspect,1,0.008064516129032258
Greedy,0,Isolate,123,0.9919354838709677
Greedy,1,Isolate,125,1.0
NoControl,0,Forward,124,1.0
NoControl,1,Forward,125,1.0
PPO-TFC (seed=100),0,Forward,124,1.0
PPO-TFC (seed=100),1,Forward,125,1.0
PPO-TFC (seed=200),0,Forward,124,1.0
PPO-TFC (seed=200),1,Forward,125,1.0
PPO-TFC (seed=2024),0,Forward,122,0.9838709677419355
PPO-TFC (seed=2024),0,Isolate,2,0.016129032258064516
PPO-TFC (seed=2024),1,Forward,125,1.0
PPO-TFC (seed=2025),0,Forward,124,1.0
PPO-TFC (seed=2025),1,Forward,125,1.0
PPO-TFC (seed=300),0,Forward,124,1.0
PPO-TFC (seed=300),1,Forward,125,1.0
PPO-TFC (seed=400),0,Drop,5,0.04032258064516129
PPO-TFC (seed=400),0,Forward,119,0.9596774193548387
PPO-TFC (seed=400),1,Drop,24,0.192
PPO-TFC (seed=400),1,Forward,101,0.808
PPO-TFC (seed=42),0,Forward,124,1.0
PPO-TFC (seed=42),1,Forward,125,1.0
PPO-TFC (seed=500),0,Forward,124,1.0
PPO-TFC (seed=500),1,Forward,125,1.0
PPO-TFC (seed=600),0,Drop,5,0.04032258064516129
PPO-TFC (seed=600),0,Forward,119,0.9596774193548387
PPO-TFC (seed=600),1,Drop,28,0.224
PPO-TFC (seed=600),1,Forward,97,0.776
PPO-TFC (seed=700),0,Forward,124,1.0
PPO-TFC (seed=700),1,Forward,125,1.0
