replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket
0,NoControl,NoControl,,1,0.879833996295929,0.8799999952316284,0.88,0,Forward,34,attack
1,NoControl,NoControl,,0,0.8099673390388489,0.8100000023841858,0.81,0,Forward,163,benign
2,NoControl,NoControl,,0,0.8290244936943054,0.8299999833106995,0.82,0,Forward,359,benign
3,NoControl,NoControl,,1,0.8779748678207397,0.8799999952316284,0.87,0,Forward,543,attack
4,NoControl,NoControl,,1,0.8908616900444031,0.8899999856948853,0.89,0,Forward,788,attack
5,NoControl,NoControl,,0,0.8184310793876648,0.8199999928474426,0.83,0,Forward,1007,benign
6,NoControl,NoControl,,1,0.8630930185317993,0.8700000047683716,0.86,0,Forward,1077,attack
7,NoControl,NoControl,,0,0.7812010049819946,0.7799999713897705,0.78,0,Forward,1173,benign
8,NoControl,NoControl,,0,0.7988349199295044,0.800000011920929,0.8,0,Forward,1338,benign
9,NoControl,NoControl,,1,0.8783858418464661,0.8799999952316284,0.88,0,Forward,1589,attack
10,NoControl,NoControl,,1,0.9270837903022766,0.9300000071525574,0.93,0,Forward,1711,attack
11,NoControl,NoControl,,1,0.9204261302947998,0.9200000166893005,0.92,0,Forward,1755,attack
12,NoControl,NoControl,,1,0.8790686726570129,0.8799999952316284,0.88,0,Forward,1826,attack
13,NoControl,NoControl,,1,0.8598487377166748,0.8600000143051147,0.86,0,Forward,2303,attack
14,NoControl,NoControl,,1,0.8559197187423706,0.8500000238418579,0.87,0,Forward,2509,attack
15,NoControl,NoControl,,1,0.8448888659477234,0.8399999737739563,0.85,0,Forward,2579,attack
16,NoControl,NoControl,,1,0.8343343138694763,0.8299999833106995,0.85,0,Forward,2704,attack
17,NoControl,NoControl,,1,0.909209668636322,0.9100000262260437,0.91,0,Forward,2984,attack
18,NoControl,NoControl,,1,0.892710268497467,0.8899999856948853,0.89,0,Forward,3042,attack
19,NoControl,NoControl,,0,0.779188334941864,0.7799999713897705,0.78,0,Forward,3187,benign
20,NoControl,NoControl,,0,0.7874859571456909,0.7900000214576721,0.79,0,Forward,3200,benign
21,NoControl,NoControl,,1,0.8884751200675964,0.8899999856948853,0.88,0,Forward,3480,attack
22,NoControl,NoControl,,0,0.8297797441482544,0.8299999833106995,0.83,0,Forward,3603,benign
23,NoControl,NoControl,,1,0.8987791538238525,0.8999999761581421,0.9,0,Forward,4036,attack
24,NoControl,NoControl,,1,0.9100563526153564,0.9100000262260437,0.91,0,Forward,4096,attack
25,NoControl,NoControl,,0,0.7760412693023682,0.7799999713897705,0.78,0,Forward,4223,benign
26,NoControl,NoControl,,0,0.7967140674591064,0.7900000214576721,0.8,0,Forward,4492,benign
27,NoControl,NoControl,,0,0.773356556892395,0.7699999809265137,0.78,0,Forward,4724,benign
28,NoControl,NoControl,,1,0.9137651920318604,0.9100000262260437,0.92,0,Forward,4794,attack
29,NoControl,NoControl,,1,0.8725376129150391,0.8700000047683716,0.88,0,Forward,4856,attack
30,NoControl,NoControl,,1,0.8711929321289062,0.8700000047683716,0.88,0,Forward,4879,attack
31,NoControl,NoControl,,1,0.8682050108909607,0.8700000047683716,0.87,0,Forward,5004,attack
32,NoControl,NoControl,,1,0.8684120178222656,0.8700000047683716,0.87,0,Forward,5015,attack
33,NoControl,NoControl,,1,0.9081689715385437,0.9100000262260437,0.91,0,Forward,5100,attack
34,NoControl,NoControl,,1,0.8976726531982422,0.8999999761581421,0.9,0,Forward,5137,attack
35,NoControl,NoControl,,0,0.8373674154281616,0.8399999737739563,0.83,0,Forward,5188,benign
36,NoControl,NoControl,,1,0.862047553062439,0.8600000143051147,0.86,0,Forward,5222,attack
37,NoControl,NoControl,,1,0.8858568668365479,0.8799999952316284,0.89,0,Forward,5375,attack
38,NoControl,NoControl,,1,0.8564433455467224,0.8500000238418579,0.86,0,Forward,5529,attack
39,NoControl,NoControl,,0,0.8269306421279907,0.8199999928474426,0.83,0,Forward,5615,benign
40,NoControl,NoControl,,0,0.813768208026886,0.8100000023841858,0.8,0,Forward,5691,benign
41,NoControl,NoControl,,0,0.8197215795516968,0.8100000023841858,0.81,0,Forward,5747,benign
42,NoControl,NoControl,,0,0.8220182061195374,0.8100000023841858,0.81,0,Forward,5774,benign
43,NoControl,NoControl,,1,0.8663164377212524,0.8600000143051147,0.86,0,Forward,5933,attack
44,NoControl,NoControl,,0,0.849316418170929,0.8399999737739563,0.84,0,Forward,5966,benign
45,NoControl,NoControl,,0,0.8093292713165283,0.800000011920929,0.8,0,Forward,6009,benign
46,NoControl,NoControl,,0,0.8414927124977112,0.8399999737739563,0.83,0,Forward,6047,benign
47,NoControl,NoControl,,0,0.7934058308601379,0.7900000214576721,0.79,0,Forward,6156,benign
48,NoControl,NoControl,,0,0.7934057116508484,0.7900000214576721,0.79,0,Forward,6158,benign
49,NoControl,NoControl,,0,0.8012173175811768,0.800000011920929,0.8,0,Forward,6161,benign
50,NoControl,NoControl,,1,0.8523243069648743,0.8500000238418579,0.85,0,Forward,6544,attack
51,NoControl,NoControl,,1,0.8538548350334167,0.8500000238418579,0.85,0,Forward,6691,attack
52,NoControl,NoControl,,0,0.8254052996635437,0.8299999833106995,0.83,0,Forward,7158,benign
53,NoControl,NoControl,,0,0.7887188196182251,0.7900000214576721,0.79,0,Forward,7298,benign
54,NoControl,NoControl,,1,0.8693459033966064,0.8700000047683716,0.87,0,Forward,7805,attack
55,NoControl,NoControl,,0,0.8328465819358826,0.8299999833106995,0.83,0,Forward,7938,benign
56,NoControl,NoControl,,1,0.8672149181365967,0.8700000047683716,0.87,0,Forward,8112,attack
57,NoControl,NoControl,,1,0.8870208859443665,0.8899999856948853,0.89,0,Forward,8169,attack
58,NoControl,NoControl,,1,0.8547448515892029,0.8600000143051147,0.86,0,Forward,8187,attack
59,NoControl,NoControl,,1,0.8655512928962708,0.8700000047683716,0.87,0,Forward,8323,attack
60,NoControl,NoControl,,0,0.7602249383926392,0.7599999904632568,0.76,0,Forward,8570,benign
61,NoControl,NoControl,,0,0.7500377893447876,0.75,0.75,0,Forward,8585,benign
62,NoControl,NoControl,,0,0.7400667071342468,0.7400000095367432,0.74,0,Forward,8593,benign
63,NoControl,NoControl,,1,0.8890588283538818,0.8899999856948853,0.88,0,Forward,8699,attack
64,NoControl,NoControl,,1,0.8890588879585266,0.8899999856948853,0.88,0,Forward,8700,attack
65,NoControl,NoControl,,0,0.8400719165802002,0.8399999737739563,0.84,0,Forward,8758,benign
66,NoControl,NoControl,,0,0.800307035446167,0.7900000214576721,0.79,0,Forward,8963,benign
67,NoControl,NoControl,,0,0.8101561069488525,0.8100000023841858,0.81,0,Forward,9413,benign
68,NoControl,NoControl,,1,0.8594833612442017,0.8600000143051147,0.86,0,Forward,9754,attack
69,NoControl,NoControl,,0,0.8076704144477844,0.8100000023841858,0.81,0,Forward,9871,benign
70,NoControl,NoControl,,0,0.7902960777282715,0.7900000214576721,0.79,0,Forward,9907,benign
71,NoControl,NoControl,,1,0.9019876718521118,0.8999999761581421,0.9,0,Forward,10288,attack
72,NoControl,NoControl,,1,0.8918544054031372,0.8899999856948853,0.89,0,Forward,10301,attack
73,NoControl,NoControl,,1,0.8455605506896973,0.8500000238418579,0.85,0,Forward,10545,attack
74,NoControl,NoControl,,0,0.8055262565612793,0.800000011920929,0.79,0,Forward,10720,benign
75,NoControl,NoControl,,1,0.8840524554252625,0.8700000047683716,0.88,0,Forward,10844,attack
76,NoControl,NoControl,,1,0.8640789985656738,0.8500000238418579,0.86,0,Forward,10855,attack
77,NoControl,NoControl,,0,0.7940945625305176,0.7799999713897705,0.79,0,Forward,10888,benign
78,NoControl,NoControl,,0,0.7955327033996582,0.7900000214576721,0.8,0,Forward,10926,benign
79,NoControl,NoControl,,0,0.8359295725822449,0.8299999833106995,0.84,0,Forward,11013,benign
80,NoControl,NoControl,,0,0.8027329444885254,0.7900000214576721,0.79,0,Forward,11177,benign
81,NoControl,NoControl,,0,0.8449897170066833,0.8399999737739563,0.84,0,Forward,11275,benign
82,NoControl,NoControl,,0,0.8350366950035095,0.8299999833106995,0.83,0,Forward,11301,benign
83,NoControl,NoControl,,0,0.8350360989570618,0.8299999833106995,0.83,0,Forward,11302,benign
84,NoControl,NoControl,,0,0.81482994556427,0.8100000023841858,0.81,0,Forward,11352,benign
85,NoControl,NoControl,,1,0.8718368411064148,0.8700000047683716,0.87,0,Forward,11464,attack
86,NoControl,NoControl,,1,0.8501495122909546,0.8500000238418579,0.86,0,Forward,11772,attack
87,NoControl,NoControl,,0,0.8084815144538879,0.800000011920929,0.81,0,Forward,11813,benign
88,NoControl,NoControl,,0,0.8098862171173096,0.8100000023841858,0.81,0,Forward,11881,benign
89,NoControl,NoControl,,1,0.8678771257400513,0.8700000047683716,0.86,0,Forward,12061,attack
90,NoControl,NoControl,,0,0.8481305837631226,0.8500000238418579,0.84,0,Forward,12088,benign
91,NoControl,NoControl,,1,0.858406126499176,0.8600000143051147,0.85,0,Forward,12109,attack
92,NoControl,NoControl,,1,0.8504123091697693,0.8500000238418579,0.85,0,Forward,12137,attack
