calibration,controller,scenario,ece,brier
Isotonic,CARA-TC,Edge-Chrono,0.9157884369151975,0.9157884369151975
Temperature,CARA-TC,Edge-Chrono,0.2746653653945375,0.1031621618743966
Raw,,Edge-Random,0.4206418688770289,0.35220677274951884
Platt,,Edge-Random,0.009990394513732691,0.028881675797541913
Isotonic,,Edge-Random,0.010326609478361184,0.029287140521182687
Temperature,,Edge-Random,0.2213302341559038,0.29250052742402494
Raw,,Edge-Chrono,0.0727443620648167,0.06340439986843893
Isotonic,,Edge-Chrono,0.9157884369151975,0.9157884369151975
Temperature,,Edge-Chrono,0.2746653653945375,0.1031621618743966
Raw,,CIC-IDS2017,0.16889986024711054,0.029899277690583644
Isotonic,,CIC-IDS2017,0.0,0.0
Temperature,,CIC-IDS2017,0.5425984001083378,0.2944994170858537
