calibration,metric,value
Raw,ece,0.3456869294467626
Raw,brier,0.275818039257017
Raw,goodput,0.9347937979145611
Raw,attack_mitigation_rate,0.8069842756043683
Raw,benign_drop_rate,0.06353489289323835
Platt,ece,0.009990394513732693
Platt,brier,0.028881675797541913
Platt,goodput,0.9712727797752571
Platt,attack_mitigation_rate,0.9510224749514528
Platt,benign_drop_rate,0.028727220224742844
Isotonic,ece,0.21039294785561802
Isotonic,brier,0.22303330188416565
Isotonic,goodput,0.9720651197842018
Isotonic,attack_mitigation_rate,0.9483782371432967
Isotonic,benign_drop_rate,0.027871669090640178
Temperature,ece,0.2688789484258706
Temperature,brier,0.25064743393097744
Temperature,goodput,0.9108635097493035
Temperature,attack_mitigation_rate,0.597708082026538
Temperature,benign_drop_rate,0.08913649025069638
