orig_index,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,label_bucket,replay_step
543,1,0.8779748678207397,0.8799999952316284,0.87,attack,0
2509,1,0.8559197187423706,0.8500000238418579,0.87,attack,1
2704,1,0.8343343138694763,0.8299999833106995,0.85,attack,2
2984,1,0.909209668636322,0.9100000262260437,0.91,attack,3
3187,0,0.779188334941864,0.7799999713897705,0.78,benign,4
3200,0,0.7874859571456909,0.7900000214576721,0.79,benign,5
5933,1,0.8663164377212524,0.8600000143051147,0.86,attack,6
6156,0,0.7934058308601379,0.7900000214576721,0.79,benign,7
6158,0,0.7934057116508484,0.7900000214576721,0.79,benign,8
8699,1,0.8890588283538818,0.8899999856948853,0.88,attack,9
8700,1,0.8890588879585266,0.8899999856948853,0.88,attack,10
10545,1,0.8455605506896973,0.8500000238418579,0.85,attack,11
10844,1,0.8840524554252625,0.8700000047683716,0.88,attack,12
11301,0,0.8350366950035095,0.8299999833106995,0.83,benign,13
11302,0,0.8350360989570618,0.8299999833106995,0.83,benign,14
11352,0,0.81482994556427,0.8100000023841858,0.81,benign,15
11772,1,0.8501495122909546,0.8500000238418579,0.86,attack,16
12464,1,0.8687772154808044,0.8700000047683716,0.87,attack,17
13036,0,0.8321276307106018,0.8299999833106995,0.83,benign,18
13220,1,0.8940011858940125,0.8899999856948853,0.89,attack,19
13422,0,0.799791693687439,0.800000011920929,0.8,benign,20
14233,0,0.8191235065460205,0.8100000023841858,0.8,benign,21
15051,1,0.859923243522644,0.8600000143051147,0.86,attack,22
15646,1,0.8701123595237732,0.8700000047683716,0.87,attack,23
16621,1,0.8625316619873047,0.8600000143051147,0.86,attack,24
16622,1,0.8625324964523315,0.8600000143051147,0.86,attack,25
16856,1,0.8998856544494629,0.8999999761581421,0.9,attack,26
17678,0,0.8278783559799194,0.8199999928474426,0.82,benign,27
18102,0,0.8577614426612854,0.8500000238418579,0.84,benign,28
19803,0,0.6925909519195557,0.6899999976158142,0.69,benign,29
20134,1,0.9491422176361084,0.949999988079071,0.95,attack,30
21806,0,0.7671636343002319,0.7599999904632568,0.76,benign,31
22317,1,0.8491634130477905,0.8500000238418579,0.85,attack,32
23778,0,0.8388105034828186,0.8399999737739563,0.84,benign,33
24133,0,0.8036412000656128,0.800000011920929,0.8,benign,34
24560,0,0.8401661515235901,0.8399999737739563,0.84,benign,35
24613,1,0.8799384832382202,0.8799999952316284,0.88,attack,36
24837,0,0.843108594417572,0.8399999737739563,0.84,benign,37
24967,0,0.8299122452735901,0.8299999833106995,0.83,benign,38
26320,1,0.8734425902366638,0.8700000047683716,0.88,attack,39
26321,1,0.8734425902366638,0.8700000047683716,0.88,attack,40
27007,0,0.8211085796356201,0.8199999928474426,0.82,benign,41
27027,0,0.8113611340522766,0.8100000023841858,0.81,benign,42
27028,0,0.8113600015640259,0.8100000023841858,0.81,benign,43
27708,1,0.8587411642074585,0.8600000143051147,0.86,attack,44
28794,0,0.824093222618103,0.8199999928474426,0.83,benign,45
28804,0,0.8240866661071777,0.8199999928474426,0.83,benign,46
28906,1,0.8526306748390198,0.8500000238418579,0.85,attack,47
28907,1,0.8526313900947571,0.8500000238418579,0.85,attack,48
29334,0,0.8088564872741699,0.8100000023841858,0.81,benign,49
