replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket
0,NoControl,NoControl,,1,0.8779748678207397,0.8799999952316284,0.87,0,Forward,543,attack
1,NoControl,NoControl,,1,0.8559197187423706,0.8500000238418579,0.87,0,Forward,2509,attack
2,NoControl,NoControl,,1,0.8343343138694763,0.8299999833106995,0.85,0,Forward,2704,attack
3,NoControl,NoControl,,1,0.909209668636322,0.9100000262260437,0.91,0,Forward,2984,attack
4,NoControl,NoControl,,0,0.779188334941864,0.7799999713897705,0.78,0,Forward,3187,benign
5,NoControl,NoControl,,0,0.7874859571456909,0.7900000214576721,0.79,0,Forward,3200,benign
6,NoControl,NoControl,,1,0.8663164377212524,0.8600000143051147,0.86,0,Forward,5933,attack
7,NoControl,NoControl,,0,0.7934058308601379,0.7900000214576721,0.79,0,Forward,6156,benign
8,NoControl,NoControl,,0,0.7934057116508484,0.7900000214576721,0.79,0,Forward,6158,benign
9,NoControl,NoControl,,1,0.8890588283538818,0.8899999856948853,0.88,0,Forward,8699,attack
10,NoControl,NoControl,,1,0.8890588879585266,0.8899999856948853,0.88,0,Forward,8700,attack
11,NoControl,NoControl,,1,0.8455605506896973,0.8500000238418579,0.85,0,Forward,10545,attack
12,NoControl,NoControl,,1,0.8840524554252625,0.8700000047683716,0.88,0,Forward,10844,attack
13,NoControl,NoControl,,0,0.8350366950035095,0.8299999833106995,0.83,0,Forward,11301,benign
14,NoControl,NoControl,,0,0.8350360989570618,0.8299999833106995,0.83,0,Forward,11302,benign
15,NoControl,NoControl,,0,0.81482994556427,0.8100000023841858,0.81,0,Forward,11352,benign
16,NoControl,NoControl,,1,0.8501495122909546,0.8500000238418579,0.86,0,Forward,11772,attack
17,NoControl,NoControl,,1,0.8687772154808044,0.8700000047683716,0.87,0,Forward,12464,attack
18,NoControl,NoControl,,0,0.8321276307106018,0.8299999833106995,0.83,0,Forward,13036,benign
19,NoControl,NoControl,,1,0.8940011858940125,0.8899999856948853,0.89,0,Forward,13220,attack
20,NoControl,NoControl,,0,0.799791693687439,0.800000011920929,0.8,0,Forward,13422,benign
21,NoControl,NoControl,,0,0.8191235065460205,0.8100000023841858,0.8,0,Forward,14233,benign
22,NoControl,NoControl,,1,0.859923243522644,0.8600000143051147,0.86,0,Forward,15051,attack
23,NoControl,NoControl,,1,0.8701123595237732,0.8700000047683716,0.87,0,Forward,15646,attack
24,NoControl,NoControl,,1,0.8625316619873047,0.8600000143051147,0.86,0,Forward,16621,attack
25,NoControl,NoControl,,1,0.8625324964523315,0.8600000143051147,0.86,0,Forward,16622,attack
26,NoControl,NoControl,,1,0.8998856544494629,0.8999999761581421,0.9,0,Forward,16856,attack
27,NoControl,NoControl,,0,0.8278783559799194,0.8199999928474426,0.82,0,Forward,17678,benign
28,NoControl,NoControl,,0,0.8577614426612854,0.8500000238418579,0.84,0,Forward,18102,benign
29,NoControl,NoControl,,0,0.6925909519195557,0.6899999976158142,0.69,0,Forward,19803,benign
30,NoControl,NoControl,,1,0.9491422176361084,0.949999988079071,0.95,0,Forward,20134,attack
