replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
0,NoControl,NoControl,,1,0.8656986355781555,0.8600000143051147,0.85,0,Forward,271,attack,shared_bottleneck,0.004589999999637939,11.829,0.0,30.31581811657423,11.902,0.0,59.796033759357435,1340,mixed,two_switch
1,NoControl,NoControl,,0,0.8092101216316223,0.8100000023841858,0.8,0,Forward,323,benign,shared_bottleneck,0.0013890000012395376,11.589,0.0,59.922260223563335,11.554,0.0,30.365290565459198,0,mixed,two_switch
2,NoControl,NoControl,,1,0.8699979186058044,0.8700000047683716,0.86,0,Forward,596,attack,shared_bottleneck,0.0013320000036287638,11.172,0.0,32.638603374796205,11.103,0.0,57.81812699181262,350,mixed,two_switch
3,NoControl,NoControl,,1,0.8955565094947815,0.8899999856948853,0.9,0,Forward,662,attack,shared_bottleneck,0.001711999999542968,11.291,0.0,23.12693151571988,11.296,0.0,67.43366888931763,0,mixed,two_switch
4,NoControl,NoControl,,0,0.7705909609794617,0.7699999809265137,0.77,0,Forward,1203,benign,shared_bottleneck,0.0015749999988656782,11.24,0.0,60.514621312421504,11.181,0.0,29.90685429713766,0,mixed,two_switch
5,NoControl,NoControl,,1,0.8352600336074829,0.8299999833106995,0.85,0,Forward,2496,attack,shared_bottleneck,0.001290999996683695,11.246,0.0,24.049152379682255,11.154,0.0,65.99688973779563,0,mixed,two_switch
6,NoControl,NoControl,,1,0.8638322949409485,0.8600000143051147,0.86,0,Forward,3048,attack,shared_bottleneck,0.0012260000019637118,11.229,0.0,30.364411254688598,11.35,0.0,59.904417480182204,210,mixed,two_switch
7,NoControl,NoControl,,1,0.86383455991745,0.8600000143051147,0.86,0,Forward,3050,attack,shared_bottleneck,0.0011380000017879865,11.178,0.0,22.640095001619347,11.395,0.0,67.7278782516369,140,mixed,two_switch
8,NoControl,NoControl,,0,0.7998348474502563,0.800000011920929,0.8,0,Forward,3598,benign,shared_bottleneck,0.0018150000045125125,11.474,0.0,67.76115328266845,11.188,0.0,22.652087427047636,0,mixed,two_switch
9,NoControl,NoControl,,1,0.8622992634773254,0.8600000143051147,0.87,0,Forward,3871,attack,shared_bottleneck,0.0013949999981832661,11.239,0.0,38.899608709093314,11.323,0.0,50.7676990194061,0,mixed,two_switch
10,NoControl,NoControl,,0,0.8182438611984253,0.8199999928474426,0.82,0,Forward,4169,benign,shared_bottleneck,0.0015990000008514471,11.223,0.0,44.77698490142954,11.289,0.0,45.24632323857057,0,mixed,two_switch
11,NoControl,NoControl,,1,0.8727920651435852,0.8799999952316284,0.88,0,Forward,4879,attack,shared_bottleneck,0.0018900000000598993,11.297,0.0,24.054015339010483,11.231,0.0,66.0215910949195,0,mixed,two_switch
12,NoControl,NoControl,,1,0.8727920651435852,0.8799999952316284,0.88,0,Forward,4880,attack,shared_bottleneck,0.002210000005220536,11.331,0.0,59.69906008032793,11.289,0.0,30.27534821472548,0,mixed,two_switch
13,NoControl,NoControl,,1,0.8686891794204712,0.8700000047683716,0.87,0,Forward,4996,attack,shared_bottleneck,0.0012199999943618423,11.41,0.0,59.834187250892676,11.23,0.0,30.426086244094275,0,mixed,two_switch
14,NoControl,NoControl,,1,0.8686892986297607,0.8700000047683716,0.87,0,Forward,5001,attack,shared_bottleneck,0.001282999996021772,11.274,0.0,56.92217309745403,11.363,0.0,33.24923898531375,70,mixed,two_switch
