replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
0,NoControl,NoControl,,1,0.8656986355781555,0.8600000143051147,0.85,0,Forward,271,attack,attacker,0.002541999990057775,6.95,0.0,90.92003255166584,6.716,0.0,90.63892821656955,1000,targeted,single
1,NoControl,NoControl,,0,0.8092101216316223,0.8100000023841858,0.8,0,Forward,323,benign,client,0.0011620000037737555,6.744,0.0,90.72254932765036,6.572,0.0,90.5767870359762,280,targeted,single
2,NoControl,NoControl,,1,0.8699979186058044,0.8700000047683716,0.86,0,Forward,596,attack,attacker,0.0014039999882697884,6.624,0.0,90.8196538969641,6.562,0.0,91.01637897595911,0,targeted,single
3,NoControl,NoControl,,1,0.8955565094947815,0.8899999856948853,0.9,0,Forward,662,attack,attacker,0.0016439999939166228,6.679,0.0,91.09149300638236,6.69,0.0,90.81170568592361,0,targeted,single
4,NoControl,NoControl,,0,0.7705909609794617,0.7699999809265137,0.77,0,Forward,1203,benign,client,0.0010649999921952258,6.461,0.0,90.93522552893931,6.763,0.0,90.7227972007592,210,targeted,single
5,NoControl,NoControl,,1,0.8352600336074829,0.8299999833106995,0.85,0,Forward,2496,attack,attacker,0.0014900000024908877,6.521,0.0,90.62515750162619,6.667,0.0,90.66894847819684,0,targeted,single
6,NoControl,NoControl,,1,0.8638322949409485,0.8600000143051147,0.86,0,Forward,3048,attack,attacker,0.0011400000090588946,6.688,0.0,90.7285812911793,6.417,0.0,90.98520024946446,0,targeted,single
7,NoControl,NoControl,,1,0.86383455991745,0.8600000143051147,0.86,0,Forward,3050,attack,attacker,0.001168000011375625,6.834,0.0,90.41876946983945,6.331,0.0,90.30819008696771,0,targeted,single
8,NoControl,NoControl,,0,0.7998348474502563,0.800000011920929,0.8,0,Forward,3598,benign,client,0.0013309999928878824,6.85,0.0,90.3321027856444,6.652,0.0,90.3681595469922,70,targeted,single
9,NoControl,NoControl,,1,0.8622992634773254,0.8600000143051147,0.87,0,Forward,3871,attack,attacker,0.0013879999869459425,6.642,0.0,90.35332362208865,6.702,0.0,90.382508306522,140,targeted,single
10,NoControl,NoControl,,0,0.8182438611984253,0.8199999928474426,0.82,0,Forward,4169,benign,client,0.0016019999975469545,6.576,0.0,90.3746364228545,6.575,0.0,90.4912147467983,70,targeted,single
11,NoControl,NoControl,,1,0.8727920651435852,0.8799999952316284,0.88,0,Forward,4879,attack,attacker,0.0019679999923027935,7.134,0.0,90.5388355117915,6.84,0.0,90.69545670159503,0,targeted,single
12,NoControl,NoControl,,1,0.8727920651435852,0.8799999952316284,0.88,0,Forward,4880,attack,attacker,0.0013690000173482986,6.647,0.0,90.58452943016565,6.521,0.0,90.47905029201523,0,targeted,single
13,NoControl,NoControl,,1,0.8686891794204712,0.8700000047683716,0.87,0,Forward,4996,attack,attacker,0.0014209999790182337,6.656,0.0,90.68901632434194,6.984,0.0,90.59326180312155,0,targeted,single
14,NoControl,NoControl,,1,0.8686892986297607,0.8700000047683716,0.87,0,Forward,5001,attack,attacker,0.0010969999948429177,6.651,0.0,90.83149599981034,6.729,0.0,90.95174791462755,0,targeted,single
15,NoControl,NoControl,,1,0.8786917328834534,0.8799999952316284,0.88,0,Forward,5006,attack,attacker,0.0013120000232902385,6.213,0.0,91.02513329647788,6.26,0.0,90.87350653307682,0,targeted,single
16,NoControl,NoControl,,0,0.8206165432929993,0.8100000023841858,0.82,0,Forward,5672,benign,client,0.0011070000027757487,6.35,0.0,90.96063429275317,6.182,0.0,90.9302450828703,0,targeted,single
17,NoControl,NoControl,,1,0.8545636534690857,0.8500000238418579,0.85,0,Forward,6640,attack,attacker,0.0009700000020984589,6.412,0.0,90.92426926766578,6.367,0.0,90.90128630038984,0,targeted,single
18,NoControl,NoControl,,0,0.789990246295929,0.7900000214576721,0.79,0,Forward,7247,benign,client,0.0014569999962077418,6.334,0.0,90.80127576994211,6.358,0.0,90.716105102209,70,targeted,single
19,NoControl,NoControl,,0,0.8111498951911926,0.8100000023841858,0.81,0,Forward,7257,benign,client,0.0009910000073887204,6.734,0.0,90.7221362088122,6.351,0.0,90.8214755579544,0,targeted,single
20,NoControl,NoControl,,0,0.8311519026756287,0.8299999833106995,0.83,0,Forward,7262,benign,client,0.0011820000054285629,6.525,0.0,91.12538427835331,6.306,0.0,90.82031631068723,140,targeted,single
21,NoControl,NoControl,,0,0.7872647643089294,0.7799999713897705,0.78,0,Forward,7509,benign,client,0.0013089999981730216,6.621,0.0,90.94435776386628,6.387,0.0,90.56912831003524,0,targeted,single
