table_id,experiment,split,window_size,stride,calibration,detector,controller,seed,metric,value,std,script,commit,notes
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,0.8494,,scripts/reproduce_feature_ablation.py,,full_features
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.9975,,scripts/reproduce_feature_ablation.py,,full_features
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.1506,,scripts/reproduce_feature_ablation.py,,full_features
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,0.3461,,scripts/reproduce_feature_ablation.py,,no_endpoint_stream_ids
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.9516,,scripts/reproduce_feature_ablation.py,,no_endpoint_stream_ids
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.6539,,scripts/reproduce_feature_ablation.py,,no_endpoint_stream_ids
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,0.2265,,scripts/reproduce_feature_ablation.py,,size_timing_only
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.9716,,scripts/reproduce_feature_ablation.py,,size_timing_only
T6,feature_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.7735,,scripts/reproduce_feature_ablation.py,,size_timing_only
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,NoControl,0,BenSafe,1.0000,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,NoControl,0,StrictAtkMit,0.0000,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,NoControl,0,BenDrop,0.0000,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,Greedy,0,BenSafe,0.0001,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,Greedy,0,StrictAtkMit,1.0000,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,Greedy,0,BenDrop,0.9999,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,0.9697,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.9508,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.0303,0.0000,scripts/select_controllers.py,,
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,DQN-TFC-val,0,BenSafe,0.9705,0.0057,scripts/select_controllers.py,,mean across seeds
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,DQN-TFC-val,0,StrictAtkMit,0.9290,0.0073,scripts/select_controllers.py,,mean across seeds
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,DQN-TFC-val,0,BenDrop,0.0295,0.0057,scripts/select_controllers.py,,mean across seeds
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,PPO-TFC-val,0,BenSafe,0.7783,0.2243,scripts/select_controllers.py,,mean across seeds
T7,main_comparison,corrected_random,100,1,validation_tuned,xgboost,PPO-TFC-val,0,StrictAtkMit,0.7931,0.0673,scripts/select_controllers.py,,mean across seeds
