Controller,ρ_t in dynamics,BenSafe,StrictAtkMit,BenDrop,latency
CARA-TC,Yes,0.8834062873060088,0.9896461600321672,0.1165937126939912,3.990637193111892
Greedy,Yes,9.948269001193792e-05,1.0,0.999900517309988,2.543708982625702
DQN-TFC,Yes,0.7362713887783525,0.656312826698834,0.2637286112216474,3.9682851301634496
CostSensitiveClassifier,Yes,0.9651810584958216,0.959589867310012,0.0348189415041782,3.9883639735940575
DecisionTree,Yes,0.9522483087942698,0.9682348210695616,0.0477516912057302,3.989442464183045
CARA-TC,No,0.8834062873060088,0.9896461600321672,0.1165937126939912,3.990365355163894
Greedy,No,9.948269001193792e-05,1.0,0.999900517309988,2.5434197401491723
DQN-TFC,No,0.7357739753282929,0.6564133494169683,0.2642260246717071,3.965893489593441
CostSensitiveClassifier,No,0.9651810584958216,0.959589867310012,0.0348189415041782,3.988077497397373
DecisionTree,No,0.9522483087942698,0.9682348210695616,0.0477516912057302,3.9891574973973736
